solver,mode,target,run_index,solved,answer,best_word,best_rank,total_guesses,generations,trace_path,error,llm_provider,llm_model,alignment
llm,aligned,notorious,0,False,,brutal,8,861,50,traces\llm_aligned_notorious_run1_20260511_135803.json,,ollama,qwen3:14b,aligned
llm,aligned,herbaceous,0,False,,shrub,3,884,50,traces\llm_aligned_herbaceous_run1_20260512_005618.json,,ollama,qwen3:14b,aligned
llm,aligned,superficial,0,True,superficial,superficial,1,555,21,traces\llm_aligned_superficial_run1_20260512_024330.json,,ollama,qwen3:14b,aligned
llm,aligned,notorious,1,False,,prison,7,865,50,traces\llm_aligned_notorious_run2_20260512_070710.json,,ollama,qwen3:14b,aligned
llm,aligned,herbaceous,1,True,herbaceous,herbaceous,1,129,4,traces\llm_aligned_herbaceous_run2_20260512_071846.json,,ollama,qwen3:14b,aligned
llm,aligned,superficial,1,True,superficial,superficial,1,236,8,traces\llm_aligned_superficial_run2_20260512_074651.json,,ollama,qwen3:14b,aligned
llm,aligned,notorious,2,True,notorious,notorious,1,159,6,traces\llm_aligned_notorious_run3_20260512_080536.json,,ollama,qwen3:14b,aligned
llm,aligned,herbaceous,2,True,herbaceous,herbaceous,1,340,12,traces\llm_aligned_herbaceous_run3_20260512_084637.json,,ollama,qwen3:14b,aligned
llm,aligned,superficial,2,True,superficial,superficial,1,565,27,traces\llm_aligned_superficial_run3_20260512_104355.json,,ollama,qwen3:14b,aligned
llm,aligned,notorious,3,False,,prison,7,721,50,traces\llm_aligned_notorious_run4_20260512_165346.json,,ollama,qwen3:14b,aligned
llm,aligned,herbaceous,3,True,herbaceous,herbaceous,1,280,9,traces\llm_aligned_herbaceous_run4_20260512_172600.json,,ollama,qwen3:14b,aligned
llm,aligned,superficial,3,True,superficial,superficial,1,258,9,traces\llm_aligned_superficial_run4_20260512_181040.json,,ollama,qwen3:14b,aligned
llm,aligned,notorious,4,False,,prison,7,835,50,traces\llm_aligned_notorious_run5_20260512_232715.json,,ollama,qwen3:14b,aligned
llm,aligned,herbaceous,4,True,herbaceous,herbaceous,1,159,5,traces\llm_aligned_herbaceous_run5_20260512_234717.json,,ollama,qwen3:14b,aligned
llm,aligned,superficial,4,True,superficial,superficial,1,192,7,traces\llm_aligned_superficial_run5_20260513_000846.json,,ollama,qwen3:14b,aligned
