trace_file,game_number,generation,operator,parent_slot,child_name,parent_name,parent_word,parent_rank_reconstructed,parent_rank_logged,parent_rank_matches,child_first_word,child_first_rank,cosine_first,child_best_word,child_best_rank,cosine_best
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,1,ml_mutation,,physiological states,verbs,sleep,97,97,True,rest,551,0.34096819162368774,rest,551,0.34096819162368774
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,1,m_mutation,,darkness,time,night,205,205,True,dark,1146,0.3755922019481659,dark,1146,0.3755922019481659
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,1,s_mutation,,leg segments,body_parts,leg,255,255,True,thigh,1957,0.5688673853874207,knee,1170,0.5629503130912781
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,1,s_mutation,,singular terms,numbers,one,331,331,True,single,1115,0.6005831360816956,single,1115,0.6005831360816956
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,1,l_mutation,,temperature_states,colors,red,436,436,True,hot,109,0.33975914120674133,cold,10,0.24628734588623047
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,1,crossover,0,temperature_action,temperature_states,cold,10,10,True,drink,543,0.3544682562351227,sleep,97,0.3330197036266327
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,1,crossover,1,temperature_action,verbs,sleep,97,97,True,drink,543,0.36245909333229065,sleep,97,1.0
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,2,l_mutation,,climatic_conditions,temperature_states,cold,10,10,True,alpine,11148,0.15077409148216248,arctic,2089,0.36422812938690186
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,2,ml_mutation,,medical conditions,body_parts,stomach,51,51,True,ulcer,264,0.5052719712257385,infection,8,0.42652297019958496
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,2,ml_mutation,,biological functions,verbs,sleep,97,97,True,nap,4335,0.42100203037261963,sneeze,282,0.1332349330186844
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,2,ml_mutation,,cyclical patterns,time,week,166,166,True,cycle,341,0.21832828223705292,cycle,341,0.21832828223705292
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,2,l_mutation,,abstract qualities,singular terms,thing,243,243,True,quality,724,0.3277064263820648,quality,724,0.3277064263820648
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,2,crossover,0,temperature_medical,medical conditions,infection,8,8,True,chill,30,0.06803026050329208,infection,8,1.0000001192092896
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,2,crossover,1,temperature_medical,temperature_states,cold,10,10,True,chill,30,0.5726532936096191,infection,8,0.21683043241500854
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,3,l_mutation,,environmental factors,medical conditions,infection,8,8,True,contamination,795,0.45336607098579407,contamination,795,0.45336607098579407
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,3,s_mutation,,cold_states,temperature_states,cold,10,10,True,chilly,1064,0.5643460750579834,chilly,1064,0.5643460750579834
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,3,l_mutation,,physiological needs,body_parts,stomach,51,51,True,hunger,560,0.24205069243907928,thirst,271,0.20519140362739563
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,3,s_mutation,,rest states,verbs,sleep,97,97,True,rest,551,0.34096819162368774,rest,551,0.34096819162368774
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,3,ml_mutation,,stages,time,period,135,135,True,stage,378,0.30042755603790283,stage,378,0.30042755603790283
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,3,crossover,0,temperature_medical_conditions,medical conditions,infection,8,8,True,chill,30,0.06803026050329208,chill,30,0.06803026050329208
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,3,crossover,1,temperature_medical_conditions,temperature_states,cold,10,10,True,chill,30,0.5726532936096191,chill,30,0.5726532936096191
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,4,s_mutation,,infectious conditions,medical conditions,infection,8,8,True,contagion,5053,0.22377930581569672,illness,25,0.5908486247062683
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,4,l_mutation,,natural_environments,temperature_states,cold,10,10,True,wildlife,8369,0.07618909329175949,ecology,5496,0.039346083998680115
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,4,ml_mutation,,medical conditions,body_parts,stomach,51,51,True,tumor,666,0.4082445502281189,infection,8,0.42652297019958496
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,4,m_mutation,,hierarchy,stages,level,77,77,True,tier,11053,0.41875430941581726,measure,185,0.3219459354877472
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,4,m_mutation,,sleep_phases_and_processes,verbs,sleep,97,97,True,phase,483,0.19357921183109283,phase,483,0.19357921183109283
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,4,crossover,0,shared_medical_conditions,medical conditions,infection,8,8,True,infection,8,1.0000001192092896,infection,8,1.0000001192092896
ea_llm_self_adaptive_api_1303_run1_20260721_233700.json,1303,4,crossover,1,shared_medical_conditions,medical conditions,infection,8,8,True,infection,8,1.0000001192092896,infection,8,1.0000001192092896
ea_llm_self_adaptive_api_1303_run2_20260721_235308.json,1303,1,ml_mutation,,orthopedic terms,bodyparts,leg,255,255,True,crutch,20980,0.164382666349411,brace,6199,0.3053637742996216
ea_llm_self_adaptive_api_1303_run2_20260721_235308.json,1303,1,l_mutation,,epochs,seasons,winter,279,279,True,era,3774,0.1408015936613083,period,135,0.32962992787361145
ea_llm_self_adaptive_api_1303_run2_20260721_235308.json,1303,1,s_mutation,,medical professionals,professions,doctor,410,410,True,physician,1489,0.7040849924087524,physician,1489,0.7040849924087524
ea_llm_self_adaptive_api_1303_run2_20260721_235308.json,1303,1,l_mutation,,warning signals,colors,red,436,436,True,alarm,764,0.17707869410514832,indicator,356,0.1360010802745819
ea_llm_self_adaptive_api_1303_run2_20260721_235308.json,1303,1,m_mutation,,emotional symbolism of rain,weather,rain,443,443,True,tear,3114,0.25315365195274353,tear,3114,0.25315365195274353
